start_id,start_station_name,start_lat,start_lng,count
S32007,Ball Sq,42.399368,-71.111115,3385
S32007,Ball Sq,42.39936816059618,-71.11111521723615,1214
293,Bartlett St at John Elliot Sq,42.32946325922549,-71.09015820552486,5
360,Bartlett St at John Elliot Sq,42.3294633,-71.0901582,15502
B32055,Bartlett St at John Elliot Sq,42.329463,-71.090158,2881
B32055,Bartlett St at John Elliot Sq,42.3294633,-71.0901582,1124
293,Bartlett St at John Elliot Sq (former),42.32946325922549,-71.09015820552486,50
C32108,Beach St at Freeport St,42.303674,-71.05426,14
C32108,Beach St at Freeport St,42.303674,-71.054259,7
C32108,Beach St at Freeport St,42.303674088927075,-71.05425953865051,62
53,Beacon St / Mass Ave,42.350851,-71.089886,31011
58,Beacon St at Arlington St,42.355536284897084,-71.07286870479584,10542
58,Beacon St at Arlington St,42.35554932336134,-71.07284188270569,16622
58,Beacon St at Arlington St,42.355596,-71.07278,376
120,Beacon St at Charles St,42.356052,-71.069849,55322
D32024,Beacon St at Charles St,42.356052,-71.069849,24224
450,Beacon St at Englewood Ave,42.337369153709254,-71.14485977232107,802
453,Beacon St at Hawes St,42.34496783328529,-71.11040176903771,2028
53,Beacon St at Massachusetts Ave,42.35082680669095,-71.0898108780384,150330
B32016,Beacon St at Massachusetts Ave,42.350826,-71.08981,1012
B32016,Beacon St at Massachusetts Ave,42.35082680669095,-71.0898108780384,7769
B32016,Beacon St at Massachusetts Ave,42.350827,-71.089811,29894
452,Beacon St at St. Paul St,42.34373094998716,-71.11614107161584,4287
82,Beacon St at Tappan St,42.33826680058037,-71.13894682028331,24672
K32002,Beacon St at Tappan St,42.338266,-71.138946,252
K32002,Beacon St at Tappan St,42.33826680058037,-71.13894682028331,1353
K32002,Beacon St at Tappan St,42.338267,-71.138947,4178
79,Beacon St at Washington / Kirkland,42.37842,-71.105668,48874
79,Beacon St at Washington / Kirkland,42.37875351212593,-71.10707223415375,9431
S32003,Beacon St at Washington / Kirkland,42.378753,-71.107072,561
S32003,Beacon St at Washington / Kirkland,42.37875351212593,-71.10707223415375,2345
S32003,Beacon St at Washington / Kirkland,42.378754,-71.107072,9560
526,Beacon at Walnut,42.330062324402995,-71.20668411254883,556
N32012,Beacon at Walnut,42.330062,-71.206684,239
N32012,Beacon at Walnut,42.330062324402995,-71.20668411254883,52
373,Belgrade Ave at Walworth St,42.28634589486312,-71.13672129828046,2097
C32059,Belgrade Ave at Walworth St,42.286345,-71.136721,36
C32059,Belgrade Ave at Walworth St,42.28634589486312,-71.13672129828046,165
C32059,Belgrade Ave at Walworth St,42.286346,-71.136721,413
511,Bellevue T Stop,42.28611420958351,-71.14636927843094,350
C32095,Bellevue T Stop,42.286114,-71.146369,200
C32095,Bellevue T Stop,42.28611420958351,-71.14636927843094,43
504,Bellingham Square,42.39301409032274,-71.0339249682147,31
504,Bellingham Square,42.3931961102951,-71.03344559669495,608
H32002,Bellingham Square,42.393196,-71.033446,312
H32002,Bellingham Square,42.393196,-71.033445,11
H32002,Bellingham Square,42.3931961102951,-71.03344559669495,111
210,Bennington St at Byron St,42.38337841883669,-71.01612031481636,323
210,Bennington St at Byron St,42.383532520117896,-71.01619094610214,3471
A32028,Bennington St at Byron St,42.383532,-71.01619,48
A32028,Bennington St at Byron St,42.383532520117896,-71.01619094610214,402
A32028,Bennington St at Byron St,42.383533,-71.016191,623
274,Bennington St at Constitution Beach,42.385249,-71.010601,15
355,Bennington St at Constitution Beach,42.385223935870535,-71.01063068965232,5609
A32039,Bennington St at Constitution Beach,42.385223,-71.01063,29
A32039,Bennington St at Constitution Beach,42.385223935870535,-71.01063068965232,427
A32039,Bennington St at Constitution Beach,42.385224,-71.010631,1256
274,Bennington St at Constitution Beach (former),42.385249,-71.010601,15
437,Berkshire Street at Cambridge Street,42.37207657915397,-71.08995433905875,58004
M32067,Berkshire Street at Cambridge Street,42.372076,-71.089954,1007
M32067,Berkshire Street at Cambridge Street,42.37207657915397,-71.08995433905875,5865
M32067,Berkshire Street at Cambridge Street,42.372077,-71.089954,12537
400,Big Papi Station,42.34734473177431,-71.1001680795016,1824
117,Binney St / Sixth St,42.36608797388682,-71.08633603909765,28439
117,Binney St / Sixth St,42.366095,-71.086388,23159
117,Binney St / Sixth St,42.36616223459919,-71.08688293667001,10206
M32027,Binney St / Sixth St,42.366087,-71.086336,530
M32027,Binney St / Sixth St,42.36608797388682,-71.08633603909765,2699
M32027,Binney St / Sixth St,42.366088,-71.086336,5904
416,Blossom St at Charles St,42.36435589027983,-71.0695936904267,30954
D32050,Blossom St at Charles St,42.36435589027983,-71.0695936904267,1066
D32050,Blossom St at Charles St,42.364356,-71.069594,10149
245,Blue Hill Ave at Almont St,42.27454525528758,-71.09372016051566,31
340,Blue Hill Ave at Almont St,42.274620671812244,-71.09372552493369,696
C32044,Blue Hill Ave at Almont St,42.27462,-71.093725,4
C32044,Blue Hill Ave at Almont St,42.274620671812244,-71.09372552493369,32
C32044,Blue Hill Ave at Almont St,42.274621,-71.093726,142
245,Blue Hill Ave at Almont St (former),42.27454525528758,-71.09372016051566,6
490,Blue Hill Ave at Havelock St,42.286012,-71.090986,457
C32092,Blue Hill Ave at Havelock St,42.286012,-71.090986,148
368,Blue Hill Ave at Southwood St,42.317860205899876,-71.07798628527235,2199
B32057,Blue Hill Ave at Southwood St,42.31786,-71.077986,640
B32057,Blue Hill Ave at Southwood St,42.317860205899876,-71.07798628527235,3
306,Blue Hill Ave at Southwood St (former),42.31784,-71.07796,17
23,Boston City Hall - 28 State St,42.35892,-71.057629,107625
B32008,Boston City Hall - 28 State St,42.35892,-71.057629,21553
523,Boston College T,42.33987891612856,-71.16708934307098,4734
N32009,Boston College T,42.339878,-71.167089,113
N32009,Boston College T,42.33987891612856,-71.16708934307098,753
N32009,Boston College T,42.339879,-71.167089,2299
65,Boston Convention & Exhibition Center,42.3475,-71.0441,7705
65,Boston Convention and Exhibition Center - Summer St at West Side Dr,42.3475,-71.0441,36
65,Boston Convention and Exhibition Center - Summer St at West Side Dr,42.347763454147454,-71.0453599691391,23500
D32018,Boston Convention and Exhibition Center - Summer St at West Side Dr,42.347763,-71.04536,6095
D32018,Boston Convention and Exhibition Center - Summer St at West Side Dr,42.347763,-71.045359,263
D32018,Boston Convention and Exhibition Center - Summer St at West Side Dr,42.347763454147454,-71.0453599691391,2173
219,Boston East - 126 Border St,42.373312125824704,-71.0410200806291,5671
A32036,Boston East - 126 Border St,42.373312,-71.04102,1042
A32036,Boston East - 126 Border St,42.373312125824704,-71.0410200806291,326
440,Boston Landing,42.356560923089404,-71.14167537549292,10745
A32045,Boston Landing,42.35656,-71.141675,210
A32045,Boston Landing,42.356560923089404,-71.14167537549292,1305
A32045,Boston Landing,42.356561,-71.141675,3354
13,Boston Medical Center -  East Concord at Harrison Ave,42.336437,-71.073089,16711
13,Boston Medical Center - E Concord St at Harrison Ave,42.33639915372498,-71.07306711393903,37235
13,Boston Medical Center - E Concord St at Harrison Ave,42.336437,-71.073089,16892
13,Boston Medical Center - E Concord St at Harrison Ave,42.33671641210506,-71.06880776602338,2097
C32002,Boston Medical Center - E Concord St at Harrison Ave,42.336399,-71.073067,11975
C32002,Boston Medical Center - E Concord St at Harrison Ave,42.33639915372498,-71.07306711393903,2278
36,Boston Public Library - 700 Boylston St.,42.349673,-71.077303,35216
369,Boston Public Market,42.36254854409333,-71.0573735833168,32568
205,Bowdoin St at Quincy St,42.306348,-71.067149,1
205,Bowdoin St at Quincy St,42.30785224238503,-71.06512248516083,6466
205,Bowdoin St at Quincy St,42.30791912678712,-71.06502056121826,71
B32031,Bowdoin St at Quincy St,42.307852,-71.065122,1410
B32031,Bowdoin St at Quincy St,42.30785224238503,-71.06512248516083,360
55,Boylston / Mass Ave,42.347265,-71.088088,23367
50,Boylston St / Berkeley St,42.350989,-71.073644,17468
81,Boylston St / Washington St,42.352409,-71.062679,20560
42,Boylston St at Arlington St,42.35200960743121,-71.07060294892108,18443
42,Boylston St at Arlington St,42.352033,-71.070627,9227
42,Boylston St at Arlington St,42.35204262229712,-71.07057809829712,23810
42,Boylston St at Arlington St,42.35204262229712,-71.0704493522644,13047
42,Boylston St at Arlington St,42.352054773220544,-71.07048687257702,4416
42,Boylston St at Arlington St,42.35254842775383,-71.06767407367443,5400
42,Boylston St at Arlington St,42.35256693391622,-71.06770543386118,2164
42,Boylston St at Arlington St,42.352583438376996,-71.06766249993596,2600
42,Boylston St at Arlington St,42.352587795070214,-71.06764905172895,3086
D32007,Boylston St at Arlington St,42.352052,-71.07036,2560
D32007,Boylston St at Arlington St,42.35206,-71.070464,15266
D32007,Boylston St at Arlington St,42.35206,-71.070463,823
D32007,Boylston St at Arlington St,42.352808,-71.067585,2975
42,Boylston St at Arlington St TEMPORARY WINTER LOCATION,42.352583438376996,-71.06766249993596,1630
50,Boylston St at Berkeley St,42.3511419825475,-71.07329249382019,47366
D32013,Boylston St at Berkeley St,42.351141,-71.073292,604
D32013,Boylston St at Berkeley St,42.3511419825475,-71.07329249382019,3724
D32013,Boylston St at Berkeley St,42.351142,-71.073292,8310
476,Boylston St at Charles St,42.3525760946701,-71.06764405041758,4606
42,Boylston St at Charles St (Temp Winter Location),42.35258524849636,-71.06770277023315,2021
D32007,Boylston St at Charles St (Temp Winter Location),42.352585,-71.067703,922
134,Boylston St at Dartmouth St,42.350413,-71.07655,14760
454,Boylston St at Dartmouth St,42.35010609546997,-71.07720464005979,12966
454,Boylston St at Dartmouth St,42.35019319808638,-71.07744187116623,4104
D32055,Boylston St at Dartmouth St,42.350193,-71.077442,6884
D32055,Boylston St at Dartmouth St,42.35019319808638,-71.07744187116623,485
134,Boylston St at Dartmouth St FORMER,42.350413,-71.07655,2633
372,Boylston St at Exeter St,42.349589423682445,-71.0794677917329,61244
D32046,Boylston St at Exeter St,42.349589,-71.079468,14790
D32046,Boylston St at Exeter St,42.349589,-71.079467,775
D32046,Boylston St at Exeter St,42.349589423682445,-71.0794677917329,5187
61,Boylston St at Fairfield St,42.348762,-71.082383,79201
61,Boylston St at Fairfield St,42.348803822833936,-71.08236908912659,5389
61,Boylston St at Fairfield St,42.34908155168097,-71.08192384243011,9091
